"IDBRANCA","COD_BRANCA","IDBRANCA_PADRE","DESC_BRANCA","LIVELLO","PREMESSE","IDNOMENCLATORE"
"125",,"16","Diagnostica per immagini - Medicina nucleare (scintigrafia) - Apparato osteo-articolare","1",,"1"
"126",,"16","Diagnostica per immagini - Medicina nucleare (scintigrafia) - Apparato respiratorio","1",,"1"
"127",,"16","Diagnostica per immagini - Medicina nucleare (scintigrafia) - Apparato urinario","1",,"1"
"128",,"16","Diagnostica per immagini - Medicina nucleare (scintigrafia) - Fegato e vie biliari e milza","1",,"1"
"129",,"16","Diagnostica per immagini - Medicina nucleare (scintigrafia) - Sistema nervoso centrale","1",,"1"
"130",,"16","Diagnostica per immagini - Medicina nucleare (scintigrafia) - Tiroide e paratiroide","1",,"1"
"131",,"16","Diagnostica per immagini - Medicina nucleare (scintigrafia) - Altri organi","1",,"1"
"132",,"16","Cardiologia","1","Premesse specifiche di branca Le tariffe descritte comprendono l'uso delle apparecchiature e dei compensi professionali.","1"
"133",,"16","Dermatologia","1",,"1"
"134",,"16","Neurologia","1","Premesse specifiche di branca In caso di esami eseguiti nel corso della stessa seduta le tariffe degli esami successivi al primo si intendono ridotte del 50%. Le tariffe sono omnicomprensive dei materiali d'uso e dei medicinali.","1"
"135",,"16","Oculistica","1","Premesse specifiche di branca In caso di esami eseguiti nel corso della stessa seduta, le tariffe degli esami successivi al primo si intendono ridotte del 50%. Gli esami si intendono bilaterali. I materiali e i medicinali sono compresi nelle tariffe esposte. La transilluminazione, il test di Shirmer e lo schermo di Hess sono compresi nella visita, se non diversamente previsto nei regolamenti dei Mandanti.","1"
"136",,"16","Otorinolaringoiatria","1","Premesse specifiche di branca In caso di esami eseguiti nel corso della stessa seduta, le tariffe degli esami successivi al primo si intendono ridotte del 50%. Gli esami si intendono bilaterali. I materiali e i medicinali sono compresi nelle tariffe esposte.","1"
"137",,"16","Pneumologia","1","Premesse specifiche di branca In caso di esami eseguiti nel corso della stessa seduta, le tariffe degli esami successivi al primo si intendono ridotte del 50%. Le tariffe sono comprensive dei materiali d'uso ed eventuali medicinali.","1"
"138",,"16","Test allergometrici - Allergologia","1","Premesse specifiche di branca. Le tariffe rappresentano i compensi professionali e comprendono i materiali d'uso. Sono esclusi dai rimborsi i medicinali e/o le sostanze usate per gli esami (serie di allergeni). Non sono rimborsabili i vaccini, se non diversamente previsto nei regolamenti dei Mandanti. Le tariffe si intendono per seduta a cui si può aggiungere la tariffa della visita una sola volta per ciclo di sedute/terapie. La documentazione di spesa deve essere sempre accompagnata da attestazione medica riportante esattamente: la diagnosi ed il numero delle sedute/terapie ritenute necessarie, se non diversamente previsto nei regolamenti dei Mandanti.","1"
"139",,"17","Riabilitazione","1",,"1"
"140",,"17","Fisioterapia (terapia con mezzi fisici)","1",,"1"
"141",,"17","Kinesiterapia (terapia di movimento)","1",,"1"
"142",,"19","Assistenza infermieristica a domicilio","1",,"1"
"143",,"19","Prestazioni socio-assistenziali a domicilio","1",,"1"
"144",,"19","Noleggio giornaliero a domicilio di apparecchiature elettromedicali","1",,"1"
"145",,"19","Noleggio giornaliero a domicilio di presidi sanitari","1",,"1"
"156","21",,"ODONTOIATRIA","0",,"1"
"158","99",,"TEST","0","TEST","1"
"157","26","156","ODONTOIATRIA","1",,"1"
"1","1",,"VISITE SPECIALISTICHE","0","Premesse specifiche di branca. Per le visite specialistiche dell'intera équipe medica-chirurgica-anestesiologica curante eseguite in regime di ricovero con degenza notturna o diurna (day hospital-day surgery) con o senza intervento chirurgico: i compensi sono compresi nelle tariffe esposte per ogni singolo intervento od assistenza medica.","1"
"2","2",,"RETTE DI DEGENZA IN STRUTTURE SANITARIE AUTORIZZATE","0","Premesse specifiche di branca La retta di degenza in reparto di rianimazione / terapia intensiva o unità coronarica si intende comprensiva, oltre che della retta di degenza ordinaria, dell'assistenza medico-infermieristica continua (24 ore) e dell'uso di apparecchiature speciali, così come per la terapia subintensiva.","1"
"3","3",,"RIANIMAZIONE: PRESTAZIONI PROFESSIONALI DI TIPO RIANIMATIVO","0",,"1"
"4","4",,"MATERIALI E MEDICINALI","0","Premesse specifiche di branca. Sono rimborsabili, nella misura prevista, tutti i materiali sanitari ed i medicinali, utilizzati durante il ricovero in Struttura Sanitaria e regolarmente esposti in fattura. Per il sangue ed i suoi derivati vedi Sezione 6. Non si considerano rimborsabili come materiali le voci comprese nella Sezione 5. - Presidi e Protesi. (IL RIMBORSO IN FORMA DIRETTA E' SOGGETTO A VARIAZIONI IN BASE AL PIANO SANITARIO DELL'ASSISTITO)","1"
"5","5",,"PRESIDI E PROTESI","0","Premesse specifiche di branca. Sono ammessi al rimborso solo se prescritti da un medico specialista in materia oppure se utilizzati durante un ricovero con degenza diurna o notturna, descritti nella cartella clinica e nella fattura rilasciata dalla Struttura Sanitaria, se non diversamente previsto dai regolamenti del mandante.","1"
"6","6",,"COSTI E COMPENSI PROFESSIONALI PER PRESTAZIONI TRASFUSIONALI IN REGIME DI RICOVERO NOTTURNO","0","Premesse specifiche di branca. Le analisi inerenti sangue ed emoderivati vengono rimborsate secondo le relative tariffe esposte nella Sezione 16. I compensi professionali si intendono a seduta per l'intera équipe. Tutte le prestazioni/interventi sottoelencati si intendono eseguiti con qualsiasi tecnica, apparecchiatura/strumentazione, salvo i casi descritti.","1"
"7","7",,"USO SALE DEDICATE - USO SALA OPERATORIA - USO APPARECCHI SPECIALI IN SALA OPERATORIA - USO STRUMENTI AD ALTO COSTO","0","Premesse specifiche di branca: La spesa per l'uso della sala operatoria è rimborsabile in base alle apposite tariffe esposte che sono in relazione alle tariffe previste per ogni intervento chirurgico subito, sempre ovviamente entro i limiti della spesa effettivamente sostenuta; il rimborso viene quindi a sommarsi a quello riconosciuto per l'intervento stesso. La tariffa per la sala operatoria comprende l'uso di qualsiasi attrezzatura utilizzata, salvo quanto specificatamente descritto. Sono esclusi dalle tariffe esposte i costi per materiali e medicinali. L'uso del litotritore, delle apparecchiature ad onde d'urto e del facoemulsificatore è compreso nelle tariffe esposte nelle relative Sezioni 11, 13 e 17.","1"
"8","8",,"ASSISTENZA EQUIPE MEDICA IN REGIME DI RICOVERO NOTTURNO IN REPARTI DI MEDICINA","0","Premesse specifiche di branca. Le tariffe esposte sono comprensive delle prestazioni professionali dell'intera équipe medica durante un ricovero con degenza notturna. E' escluso il rimborso per tali prestazioni se eseguite in un ricovero con degenza diurna (day hospital) per qualsiasi tipo di patologia, salvo le prestazioni per chemioterapia oncologica e terapia del dolore, come esposto nella sezione che segue.","1"
"9","9",,"ONCOLOGIA MEDICA – CHEMIOTERAPIA","0","Premesse specifiche di branca. Le tariffe esposte sono comprensive delle prestazioni professionali dell’intera équipe medica-oncologica. Tutte le prestazioni/interventi sottoelencati si intendono eseguiti con qualsiasi tecnica, apparecchiatura/strumentazione, salvo i casi descritti.","1"
"10","10",,"MEDICINA IPERBARICA","0",,"1"
"11","11",,"LITOTRIPSIA EXTRACORPOREA RENALE-URETERALE-EPATO-BILIARE","0",,"1"
"12","12",,"TERAPIE","0","Premesse specifiche di branca. Le tariffe esposte si intendono per seduta, indipendentemente se eseguite ambulatorialmente o in ricovero (diurno o notturno). Comprendono: l'uso delle apparecchiature, la stesura del piano di cura, l'assistenza anestesiologica, i materiali di uso comune, ove necessari, salvo quanto specificatamente descritto. Sono escluse la prima visita di radioterapia e le visite di controllo per le quali si fa riferimento al Codice P1.1, se non diversamente previsto dai regolamenti del mandante. Tutte le prestazioni/interventi sottoelencati si intendono eseguiti con qualsiasi tecnica, apparecchiatura/strumentazione, salvo i casi descritti.","1"
"13","13",,"INTERVENTI CHIRURGICI IN REGIME DI RICOVERO NOTTURNO, IN REGIME DI RICOVERO DIURNO (DAY SURGERY) O AMBULATORIALE","0","Premesse specifiche di branca: In caso di più Interventi effettuati nella stessa seduta operatoria,dalla stessa èquipe,verrà riconosciuto per intero il rimborso, secondo tariffario, solamente l'intervento principale (più oneroso), mentreil secondointervento verrà rimborsato al 50%. Nessun ulteriore rimborso è previsto per atti operatori successivi al secondo.","1"
"14","14",,"DIAGNOSTICA AD ALTA INVASIVITA'","0","Premesse specifiche di branca. I materiali speciali ad alto costo ed eventuali medicinali sono rimborsati così come descritto nella relativa sezione 4. Tutte le prestazioni sottoelencate si intendono eseguite con qualsiasi tecnica, apparecchiatura/strumentazione, salvo i casi descritti.","1"
"15","15",,"DIAGNOSTICA A BASSA INVASIVITA'","0","Premesse specifiche di branca. I materiali speciali ad alto costo ed eventuali medicinali sono rimborsati così come descritto nella relativa sezione 4. Tutte le prestazioni sottoelencate si intendono eseguite con qualsiasi tecnica, apparecchiatura/strumentazione, salvo i casi descritti.","1"
"16","16",,"ACCERTAMENTI DIAGNOSTICI","0",,"1"
"17","17",,"FISIOKINESITERAPIA E RIABILITAZIONE","0","Per distretto anatomico si intende ogni singolo arto o l'intera colonna vertebrale. Le tariffe sono omnicomprensive dei materiali d'uso e/o medicamenti. Sono escluse dai rimborsi le terapie con finalità estetiche, se non diversamente previsto nei regolamenti dei Mandanti. Le voci con ""manu medica"" devono essere effettuate da medico-chirurgo abilitato nella Comunità Europea.","1"
"18","18",,"CURE TERMALI","0","PER FRUIRE DELLE PRESTAZIONI È OBBLIGATORIA LA PRESENTAZIONE DI PRESCRIZIONE MEDICA","1"
"19","19",,"PRESTAZIONI DOMICILIARI","0",,"1"
"20","20",,"TICKET","0",,"1"
"112",,"16","Esami Citologici - Istologici - Immunoistochimici - Esami citologici","1","Premesse specifiche di branca Gli esami si intendono eseguiti con qualsiasi tecnica o metodica.","1"
"113",,"16","Esami Citologici - Istologici - Immunoistochimici - Esami istologici - immunoistochimici","1",,"1"
"114",,"16","Prelievi","1",,"1"
"115",,"16","Diagnostica per immagini - Angiografia","1","Premesse specifiche di branca. Le tariffe comprendono l'intera équipe medica-radiologica- anestesiologica, il contrasto e le radiografie necessarie. I materiali speciali ed eventuali medicinali sono rimborsati come descritto nella relativa Sezione 4. Per ogni ulteriore prestazione oltre la prima nel corso della stessa seduta si intende applicata la tariffa prevista ridotta del 50%. Per distretto vascolare s'intende lo studio dei vasi cerebrali o sovraortici o toracici od addominali-splancnici o di un arto o di un metamero spinale.","1"
"21",,"7","Uso sale dedicate","1",,"1"
"22",,"7","Uso sala operatoria in regime di ricovero notturno.","1","Per interventi chirurgici ed atti invasivi eseguiti in anestesia generale, periferica spinale (subdurale o peridurale) o plessica, tronculare, per infiltrazione, compreso l'uso di qualsiasi apparecchiatura non specificatamente descritta.","1"
"23",,"7","Uso sala operatoria in regime di ricovero diurno (day surgery)","1","Per interventi chirurgici od atti invasivi eseguiti in anestesia generale, periferica spinale (subdurale o peridurale) o plessica, tronculare, per infiltrazione, salvo diversa descrizione.","1"
"24",,"7","Uso strumenti ad alto costo della struttura sanitaria","1",,"1"
"25",,"11","LITOTRIPSIA - Rene","1",,"1"
"26",,"11","LITOTRIPSIA - Uretere","1",,"1"
"27",,"11","LITOTRIPSIA - Fegato e Vie Biliari","1",,"1"
"28",,"12","Radioterapia","1",,"1"
"29",,"12","Trattamenti HIFU","1",,"1"
"30",,"12","Terapia antalgica - Compensi professionali - Assistenza equipe medica","1","Premesse specifiche di branca. Le tariffe sono comprensive dell'assistenza équipe medica durante la fase di ricovero. Le prestazioni sono rimborsabili solamente se eseguite in regime di ricovero diurno o notturno o ambulatoriale. Tutte le prestazioni/interventi sottoelencati si intendono eseguiti con qualsiasi tecnica, apparecchiatura/strumentazione, salvo i casi descritti.","1"
"31",,"12","Terapie con radionuclidi","1","Premesse specifiche di branca. Le tariffe per le terapie sottoelencate sono comprensive dei compensi per le prestazioni professionali, di esami scintigrafici, dei materiali specifici e dei medicinali. Le tariffe non comprendono la retta di degenza giornaliera notturna o in day hospital (diurna) e l'uso della speciale stanza attrezzata e dedicata alle terapie radiometaboliche.","1"
"32",,"13","Cardiochirurgia","1","Premesse specifiche di branca Tutte le prestazioni/interventi sottoelencati si intendono eseguiti con qualsiasi tecnica, apparecchiatura/strumentazione, salvo i casi descritti.","1"
"33",,"13","Cardiologia interventistica","1","Premesse specifiche di branca Tutte le prestazioni/interventi sottoelencati si intendono eseguiti con qualsiasi tecnica, apparecchiatura/strumentazione, salvo i casi descritti.","1"
"34",,"13","Chirurgia della mammella","1","Premesse specifiche di branca. Tutti i compensi degli interventi di chirurgia demolitiva sono comprensivi della ricostruzione plastica mammaria (escluse protesi). Il rimborso dell'intervento chirurgico di posizionamento o sostituzione di protesi mammaria viene riconosciuto solo in seguito ad interventi di chirurgia demolitiva per neoplasia, se non diversamente previsto dai regolamenti dei mandanti. Sono escluse tutte le prestazioni con finalità estetiche, se non diversamente previsto dai regolamenti dei mandanti. Tutte le prestazioni/interventi sottoelencati si intendono eseguiti con qualsiasi tecnica, apparecchiatura/strumentazione, salvo i casi descritti.","1"
"35",,"13","Chirurgia generale - Interventi chirurgici minori","1","Premesse specifiche di branca. Le tariffe si intendono per interventi chirurgici eseguiti con qualsiasi tecnica (tradizionale, endoscopica o con altre strumentazioni / apparecchiature). Si intendono per tumori profondi extracavitari: il tumore del muscolo scheletrico, il tumore o la lesione similtumorale fibrosa. Le medicazioni per qualsiasi tipologia di ferita o per ulcera cutanea di qualsiasi natura non sono rimborsabili.","1"
"36",,"13","Chirurgia generale - Collo","1",,"1"
"37",,"13","Chirurgia generale - Esofago","1",,"1"
"38",,"13","Chirurgia generale - Stomaco - Duodeno","1",,"1"
"39",,"13","Chirurgia generale - Intestino: Digiuno - Ileo - Colon - Retto - Ano","1","Premesse specifiche di branca. Per trattamenti terapeutici iniettivi s'intendono: il trattamento con tossina botulinica per le ragadi anali ed il trattamento con sclerosanti per le emorroidi.","1"
"40",,"13","Chirurgia generale - Parete addominale","1",,"1"
"41",,"13","Chirurgia generale - Peritoneo","1",,"1"
"42",,"13","Chirurgia generale - Fegato e vie biliari","1",,"1"
"43",,"13","Chirurgia generale - Pancreas - Milza","1",,"1"
"44",,"13","Gastroenterologia (Chirurgia Gastroenterologica ed Endoscopica)","1","Premesse specifiche di branca. Tutte le prestazioni/interventi sotto elencati s'intendono eseguiti con qualsiasi tecnica, apparecchiatura/strumentazione, salvo i casi descritti.","1"
"45",,"13","Chirurgia pediatrica","1","Premesse specifiche di branca. Per voci mancanti in Chirurgia pediatrica si vedano le altre branche chirurgiche. Tutte le prestazioni/interventi sottoelencati si intendono eseguiti con qualsiasi tecnica, apparecchiatura/strumentazione, salvo i casi descritti.","1"
"46",,"13","Chirurgia dermatologica - Crioterapia – Laserterapia e chirurgia plastica ricostruttiva","1","Premesse specifiche di branca. Se non diversamente previsto dai regolamenti dei Mandanti, non sono rimborsabili gli interventi eseguiti per finalità estetiche e tutti i trattamenti estetici (peeling, dermoabrasione, filler ed altro). S'intendono per tumori superficiali le neoformazioni soprafasciali; per tumori profondi s'intendono le neoformazioni sottofasciali. Se non diversamente previsto dai regolamenti dei Mandanti non sono considerate come prestazioni rimborsabili, i trattamenti laser e/o chirurgici delle teleangectasie, angiomi rubini, spider nevi ed analoghi. Le tariffe s'intendono per interventi chirurgici eseguiti con qualsiasi tecnica (qualsiasi strumentazione/apparecchiatura). La mappa nevica è compresa nella visita specialistica e/o cure ove non diversamente specificato.","1"
"47",,"13","Chirurgia toraco – polmonare","1","Premesse specifiche di branca Tutte le prestazioni/interventi sottoelencati si intendono eseguiti con qualsiasi tecnica, apparecchiatura/strumentazione, salvo i casi descritti.","1"
"48",,"13","Chirurgia vascolare","1","Premesse specifiche di branca: Le tariffe si intendono per interventi chirurgici eseguiti con qualsiasi tecnica, metodica, strumentazione/apparecchiatura.","1"
"49",,"13","Radiologia interventistica","1","Premesse specifiche di branca Le tariffe comprendono l'intera équipe medica-chirurgica-radiologica-anestesiologica, l'uso dei mezzi di contrasto e delle metodiche radiologiche necessarie. I materiali speciali ad alto costo ed eventuali medicinali sono rimborsati così come descritto nella relativa Sezione 4. Le tariffe si intendono comprensive del compenso professionale per eventuale applicazione di stents, salvo i casi descritti. Per tratto s'intende: colonna cervicale o colonna dorsale o colonna lombo-sacrale. Tutte le prestazioni/interventi sottoelencati si intendono eseguiti con qualsiasi tecnica, apparecchiatura/strumentazione, salvo i casi descritti.","1"
"50",,"13","Ginecologia ed ostetricia - ginecologia","1","Premesse specifiche di branca. Tutti gli interventi chirurgici sotto elencati s'intendono eseguiti con qualsiasi via di acceso, qualsiasi tecnica, apparecchiatura / strumentazione, salvo i casi descritti. Negli interventi endoscopici la fase diagnostica/esplorativa è compresa nella tariffa esposta. Le tariffe sono comprensive del compenso dell'ostetrica e dell'assistenza neonatologica durante tutto il periodo del ricovero della madre.","1"
"51",,"13","Ginecologia ed ostetricia - Ostetricia","1",,"1"
"52",,"13","Neurochirurgia","1","Premesse specifiche di branca Tutti gli interventi chirurgici sotto elencati s'intendono eseguiti con qualsiasi via di accesso, qualsiasi tecnica, apparecchiatura / strumentazione, salvo i casi descritti. Per tratto s'intende: colonna cervicale o colonna dorsale o colonna lombo-sacrale.","1"
"53",,"13","Oculistica - Orbita","1","Premesse specifiche di branca. Le tariffe si intendono per interventi chirurgici eseguiti con qualsiasi tecnica, metodica e strumentazione/apparecchiatura, escluso laser. Gli interventi eseguiti con laser riconosciuti come rimborsabili sono unicamente descritti nel paragrafo Trattamenti laser, se non diversamente previsto nei regolamenti dei Mandanti. Non sono rimborsabili qualsiasi tipo di cure o interventi chirurgici finalizzati ai trattamenti per la miopia, astigmatismo, ipermetropia, presbiopia, correzione della cornea, eseguiti con qualsiasi metodica ed apparecchiatura, se non diversamente previsto nei regolamenti dei Mandanti.","1"
"54",,"13","Oculistica - Sopracciglio","1",,"1"
"55",,"13","Oculistica - Palpebre","1",,"1"
"56",,"13","Oculistica - Vie lacrimali","1",,"1"
"57",,"13","Oculistica - Congiuntiva","1",,"1"
"58",,"13","Oculistica - Cornea","1","Premesse specifiche di branca. Sono comprese nelle relative prestazioni l'eventuale conta delle cellule endoteliali. Non sono rimborsabili qualsiasi tipo di cure o interventi chirurgici finalizzati ai trattamenti per la miopia, astigmatismo, ipermetropia, presbiopia, correzione della cornea, eseguiti con qualsiasi metodica ed apparecchiatura, se non diversamente previsto nei regolamenti dei Mandanti.","1"
"59",,"13","Oculistica - Cristallino","1","Premesse specifiche di branca Gli interventi s'intendono eseguiti con qualsiasi tecnica, apparecchiatura-strumentazione, salvo i casi descritti. Le tariffe sono comprese dell'eventuale conta delle cellule endoteliali.","1"
"60",,"13","Oculistica - Sclera","1",,"1"
"61",,"13","Oculistica - Operazioni per glaucoma","1",,"1"
"62",,"13","Oculistica - Iride","1",,"1"
"63",,"13","Oculistica - Retina","1",,"1"
"64",,"13","Oculistica - Muscoli","1",,"1"
"65",,"13","Oculistica - Bulbo oculare","1",,"1"
"66",,"13","Oculistica - Trattamenti laser (compreso l'uso delle apparecchiature)","1",,"1"
"67",,"13","Ortopedia e traumatologia - Bendaggi","1","Premesse specifiche di branca: Per articolazioni si intendono: grandi (anca, ginocchio, spalla); medie (gomito, polso, tibio-peroneo-astragalica); piccole (le restanti). Per segmenti ossei si intendono: grandi (femore, omero, tibia); medi (clavicola, sterno, rotula, radio, ulna, perone); piccoli (i restanti). Le tariffe si intendono per interventi chirurgici eseguiti con qualsiasi tecnica e strumentazione / apparecchiatura. Per trattamento completo si intende anche eventuale artrolisi e /o neurolisi e / o sinoviectomia e / o tenolisi nell'ambito dell'intervento principale, salvo quanto specificatamente descritto.","1"
"68",,"13","Ortopedia e traumatologia - Apparecchi gessati","1",,"1"
"69",,"13","Ortopedia e traumatologia - Lussazioni e fratture","1",,"1"
"70",,"13","Ortopedia e traumatologia - Interventi incruenti","1",,"1"
"71",,"13","Ortopedia e traumatologia - Interventi cruenti","1","Premesse specifiche di branca Per articolazioni si intendono: grandi (anca, ginocchio, spalla); medie (gomito, polso, tibio-peroneo-astragalica); piccole (le restanti). Per segmenti ossei si intendono: grandi (femore, omero, tibia); medi (clavicola, sterno, rotula, radio, ulna, perone); piccoli (i restanti). Per tratto s’intende: colonna cervicale o colonna dorsale o colonna lombo-sacrale. Le tariffe si intendono per interventi chirurgici eseguiti con qualsiasi tecnica e strumentazione / apparecchiatura. Per trattamento completo si intende anche eventuale artrolisi e / o neurolisi e / o sinoviectomia e / o tenolisi nell'ambito dell'intervento principale, salvo quanto specificatamente descritto.","1"
"72",,"13","Ortopedia e traumatologia - Tendini - Muscoli - Aponeurosi - Nervi periferici","1",,"1"
"73",,"13","Ortopedia e traumatologia - Chirurgia della mano","1",,"1"
"74",,"13","Ortopedia e traumatologia - Chirurgia del piede","1",,"1"
"75",,"13","Otorinolaringoiatria e chirurgia maxillo facciale - Orecchio","1","Premesse specifiche di branca Le tariffe si intendono per interventi chirurgici eseguiti con qualsiasi tecnica, metodica e strumentazione/apparecchiatura.","1"
"76",,"13","Otorinolaringoiatria e chirurgia maxillo facciale - Naso e seni paranasali","1","Premesse specifiche di branca: Gli interventi di rinosettoplastica e settoplastica aventi finalità di natura estetica, o conseguenti a correzioni chirurgiche di natura estetica, non sono mai rimborsabili anche quando siano concomitanti ad altri interventi rimborsabili, se non diversamente previsto nei regolamenti dei Mandanti.","1"
"77",,"13","Otorinolaringoiatria e chirurgia maxillo facciale - Chirurgia oro - maxillo – facciale","1",,"1"
"78",,"13","Otorinolaringoiatria e chirurgia maxillo facciale - Faringe - Cavo orale - Orofaringe","1",,"1"
"79",,"13","Otorinolaringoiatria e chirurgia maxillo facciale - Laringe e ipofaringe","1",,"1"
"80",,"13","Urologia endoscopica ed operativa - Piccoli interventi","1","Premesse specifiche di branca: I materiali speciali ad alto costo ed eventuali medicinali sono rimborsati così come descritto nella relativa Sezione 4. Tutte le prestazioni/interventi sottoelencati si intendono eseguiti con qualsiasi tecnica, apparecchiatura/strumentazione, salvo i casi descritti.","1"
"81",,"13","Urologia endoscopica ed operativa - Endoscopia operativa","1",,"1"
"82",,"13","Urologia - Atti chirurgici - Rene","1",,"1"
"83",,"13","Urologia - Atti chirurgici - Uretere","1",,"1"
"84",,"13","Urologia - Atti chirurgici - Vescica","1",,"1"
"85",,"13","Urologia - Atti chirurgici - Prostata","1",,"1"
"86",,"13","Urologia - Atti chirurgici - Uretra","1",,"1"
"87",,"13","Apparato genitale maschile","1","Premesse specifiche di branca. La peniscopia e' compresa nella visita, se non diversamente previsto nei regolamenti dei mandanti.","1"
"88",,"14","Diagnostica cardiologica","1",,"1"
"89",,"14","Diagnostica senologica","1",,"1"
"90",,"14","Diagnostica chirurgica","1",,"1"
"91",,"14","Diagnostica oro – maxillo – facciale","1",,"1"
"92",,"14","Diagnostica toraco – polmonare","1",,"1"
"93",,"14","Diagnostica ginecologica","1",,"1"
"94",,"14","Diagnostica neurochirurgica","1",,"1"
"95",,"14","Diagnostica oculistica","1",,"1"
"96",,"14","Diagnostica ortopedica","1",,"1"
